Question,Option_1,Option_2,Option_3,Option_4,RC,year
140. ¿Qué técnica utilizaría para conocer la secuencia de una región del DNA a la que se une un factor de transcripción?:,1. RNA-seq.,2. CHIP-seq.,3. Secuenciación masiva del genoma.,4. Secuenciación masiva del exoma.,2,2018
141. La DNA polimerasa alfa:,1. Tiene una subunidad catalítica con actividad RNA polimerasa 5’-3’.,2. Tiene actividad exonucleasa 3’-5’.,3. Tiene alta procesividad.,"4. En ausencia de cebador, no puede polimerizar una cadena de nucleótidos.",1,2018
142. Los carbonos anoméricos están en:,1. Aminoácidos.,2. Bases aromáticas de los nucleótidos.,3. Monosacáridos.,4. Ácidos grasos.,3,2018
143. La fructosa es una:,1. Aldopentosa.,2. Aldohexosa.,3. Cetopentosa.,4. Cetohexosa.,4,2018
144. ¿Cuál de los siguientes azúcares es un disacárido?:,1. Glucosa.,2. Fructosa.,3. Sacarosa.,4. Amilosa.,3,2018
145. Contiene(n) una única cadena de ácido graso en su estructura:,1. Triglicéridos.,2. Fosfoglicéridos.,3. Esfingolípidos.,4. Colesterol.,3,2018
146. Es un ácido graso saturado:,1. Linolénico.,2. Esteárico.,3. Linoleico.,4. Oleico.,2,2018
147. ¿Qué vitamina es un tocoferol?:,1. A.,2. D.,3. E.,4. K.,3,2018
148. ¿Cuántas zonas con poder tamponante presenta la glicina:,1. Una.,2. Dos.,3. Tres.,4. Cuatro.,2,2018
149. Los experimentos que demostraron que la secuencia de aminoácidos determina la estructura terciaria de las proteínas fueron los de:,1. Meselson y Stahl.,"2. Avery, MacLeod y McCarty.",3. Mitchell.,4. Anfinsen.,4,2018
150. La proteína más afectada en el escorbuto es:,1. Colágeno.,2. Queratina.,3. Albúmina.,4. Miosina.,1,2018
151. Informa sobre la afinidad de una enzima por su sustrato:,"1. Velocidad máxima, Vmax.","2. Número de recambio, Kcat.","3. Constante de Michaelis, Km.","4. Actividad Específica, A.E.",3,2018
152. La modificación covalente reversible más frecuente en la regulación enzimática es:,1. Metilación.,2. Acetilación.,3. Fosforilación.,4. Ubiquitinación.,3,2018
153. Inhibe la glucólisis y activa la gluconeogénesis:,1. NAD.,2. Citrato.,3. Piruvato.,4. Glucosa-6-fosfato.,2,2018
154. La glucosa-6-fosfato deshidrogenasa:,1. Es una enzima de la glicólisis.,2. Fosforila la glucosa antes de entrar en la glicólisis.,3. Proporciona poder reductor en forma de NADPH.,4. Favorece la entrada de lactato al ciclo del ácido cítrico.,3,2018
155. El glucógeno:,1. Se almacena principalmente en cerebro.,2. Presenta una estructura compuesta por amilosa y amilopectina poco ramificada.,3. Se almacena en vesículas asociadas a la membrana celular.,4. Se almacena en el hígado.,4,2018
156. Los cuerpos cetónicos son fuente de energía:,"1. En cerebro, durante un ayuno prolongado.",2. En los eritrocitos.,3. En todos los órganos menos en el riñón.,4. Solamente durante la normoglucemia.,1,2018
157. Presenta enlaces glucosídicos tipo alfa (1→4):,1. Celulosa.,2. Almidón.,3. Quitina.,4. Peptidoglucano.,2,2018
158. La osteogénesis imperfecta se origina mayoritariamente por mutaciones en los genes de las cadenas de:,1. Colágeno.,2. Elastina.,3. Queratina.,4. Fibrilina.,1,2018
159. Los plasmalógenos son:,1. Precursores inactivos de las proteínas plasmáticas.,2. Derivados vinil éter de los glicerofosfolípidos.,3. Un tipo de esfigonlípidos abundantes en el tejido nervioso.,4. Un tipo de esfingolípidos abundantes en el plasma sanguíneo.,2,2018
160. ¿Cuál de los siguientes fosfolípidos NO deriva del glicerol?:,1. Fosfatidilcolina.,2. Fosfatidilinositol.,3. Esfingomielina.,4. Cardiolipina.,3,2018
161. Pertenece a la familia de receptores de siete hélices transmembrana acoplados a proteína G:,1. El beta adrenérgico.,2. El de insulina.,3. El factor de crecimiento epidérmico.,4. El de estrógenos.,1,2018
162. El glucagón:,1. Se une a receptores de membrana ionotrópicos.,2. Inhibe la adenilato ciclasa hepática.,3. Activa la glucogenolisis hepática.,4. Disminuye la glucemia.,3,2018
163. El argininsuccinato es un intermediario del ciclo de:,1. Krebs.,2. La urea.,3. Cori.,4. Glioxilato.,2,2018
164. El metotrexato es un análogo del dihidrofolato que inhibe la síntesis de:,1. Ácido úrico.,2. AMP.,3. TMP.,4. UMP.,0,2018
"165. Los ácidos grasos de cadena larga, una vez activados, son transportados al interior de la mitocondria unidos a:",1. Carnitina.,2. Carnosina.,3. Albúmina.,4. Tiamina.,1,2018
166. El componente lipídico mayoritario del surfactante pulmonar es:,1. Fosfatidilglicerol.,2. Cardiolipina.,3. Dipalmitoil fosfatidilcolina.,4. Escualeno.,3,2018
167. Es una base nitrogenada de tipo púrico:,1. Citosina.,2. Timina.,3. Adenina.,4. Uracilo.,3,2018
168. La forma más estable del DNA es:,1. Forma A.,2. Forma B.,3. Forma Z.,4. DNA triplex.,2,2018
169. Los promotores:,1. Son secuencias que regulan el fin de la transcripción en el ribosoma.,2. Son secuencia que regulan el inicio de la síntesis de DNA.,3. Son secuencias que dirigen la transcripción de un gen.,4. Son un grupo de proteínas activadores de la transcripción que regulan la expresión de genes.,3,2018
170. ¿Cuál de las siguientes enzimas participa en la activación de los aminoácidos?:,1. Peptidasa señal.,2. Aminoacil tRNA sintetasa.,3. ARN polimerasa.,4. Ribozima.,2,2018
171. La subunidad delta70 de la RNA polimerasa bacteriana:,1. Es un complejo macromolecular formado por70 subunidades.,2. Es una proteína que se une a cualquier DNA con alta afinidad.,3. Aumenta la afinidad de la enzima por la región promotora.,4. Es responsable de la transcripción de tRNAs pero no de otros tipos de RNAs.,0,2018
"172. En el operón lac, la proteína represora del catabolismo CRP/CAP:","1. Es una proteína de unión a DNA que, al unir cAMP, activa la transcripción del operón.",2. Es una proteína de unión a DNA que activa la transcripción cuando se una a alolactosa.,3. Se une a la región operadora del operón y reprime su transcripción.,4. Es un inhibidor alostérico de la betagalactosidasa.,1,2018
173. Los microRNAs:,1. Son RNAs pequeños que tras ser transcritos han de ser procesados tanto en el núcleo como en el citoplasma.,2. Se denominan también snRNAs.,"3. Son RNAs pequeños que ejecutan su acción directamente, sin la participación de proteínas.",4. Actúan generalmente a nivel de la transcripción de los genes a los que regulan.,1,2018
174. En el modelo de la doble hélice de DNA propuesto por Watson y Crick:,1. Las dos hebras del DNA tienen distinto contenido en G+C.,2. La estructura depende de la secuencia de nucleótidos.,3. La distancia entre los C1’ en los pares de nucleótidos es constante.,4. Las dos hebras del DNA tienen la secuencia inversa.,3,2018
175. En relación a la reparación por escisión nucleotídica en E.coli:,1. Repara dímeros de timina generados por la luz visible.,2. Implica la actividad de la escinucleasa.,3. Requiere la acción de la DNA polimerasa I y de la DNA ligasa.,4. Cada escinucleasa reconoce específicamente un tipo de lesión.,0,2018
176. En la reacción en cadena de la polimerasa (PCR):,1. Se requieren cebadores de RNA.,2. Los cebadores son prolongados desde su extremo 3’.,3. Se requieren didesoxinucleótidos (ddNTPs).,4. Se requiere la acción de una helicasa.,2,2018
177. Las cianobacterias:,1. Tienen cloroplastos.,2. Realizan fotosíntesis anoxigénica.,3. Se conocen también como bacterias rojas.,4. Su sistema fotosintético contiene clorofila a.,4,2018
178. En la tinción de Ziehl-Niessen o ácido alcohol resistente:,1. El colorante primario o fundamental es el cristal violeta.,2. Hay que aplicar calor para permitir la entrada del colorante fundamental.,3. El agente diferencial es el óxido nítrico.,4. Las bacterias gram negativas resisten a la decoloración.,2,2018
179. Las biopelículas microbianas:,1. Siempre están formadas por bacterias de una sola especie.,2. Protegen a las bacterias que la forman del ataque del sistema inmunitario.,3. Tienen como componente mayoritario las proteínas extracelulares.,4. No se pueden observar al microscopio sin destruir su estructura tridimensional.,2,2018
180. ¿Cuál de estos mecanismos NO está implicado en la resistencia bacteriana a los antibióticos?:,1. Alteración de su diana.,2. Inactivación enzimática.,3. Secuestro intracelular.,4. Bombeo extracelular.,3,2018
181. La prueba de la reducción de los nitratos a nitritos se utiliza para la identificación de bacterias entéricas y se trata de un proceso de generación de energía mediante:,1. Fermentación.,2. Quimiolitotrofía.,3. Respiración aeróbica.,4. Respiración anaeróbica.,4,2018
182. Se determina si una especie bacteriana realiza la fermentación ácido-mixta mediante:,1. La prueba del citrato.,2. Los reactivos de Voges-Proskauer.,3. El indicador de pH rojo de metilo.,4. La prueba de producción de indol.,3,2018
183. Contribuye al bloqueo de la poliespermia:,1. Reacción de zona del ovocito.,2. Adhesión del espermatozoide a las proteínas ZP.,3. Capacitación del espermatozoide.,4. Reducción del calcio libre intracelular en el ovocito.,1,2018
184. El chancroide o chancro blando es una enfermedad de transmisión sexual causada por:,1. Treponema pallidum.,2. Haemophilus ducreyi.,3. Chlamydia trachomatis.,4. Neisseria gonorrhoeae.,2,2018
185. Los procesos generadores de energía en los microorganismos quimioorganotrofos son:,"1. Respiración aeróbica, anaeróbica y quimiolitotrófica.","2. Fermentación, respiración aeróbica y anaeróbica.",3. Respiración quimiolitotrófica y fotosintética.,4. Respiración aeróbica y fermentación.,2,2018
186. El término axénico define un ambiente:,1. Libre de microorganismos.,2. Contaminado.,3. Simbiótico.,4. Patogénico.,0,2018
"187. Entre las infecciones causadas por Campylobacter jejuni, un bacilo gram negativo, se encuentran:",1. Otitis.,2. Fiebres tifoideas.,3. Tifus.,4. Gastroenteritis.,4,2018
188. Las colonias de Staphylococcus aureus crecen en el medio de cultivo agar Baird Parker como colonias:,1. Negras rodeadas de un halo transparente.,2. Rodeadas de un halo de precipitado sobre fondo rojo.,3. De color rosa blanquecino.,4. De color verde-brillante.,1,2018
189. ¿Cuál es la función de bactoprenol?:,1. Transportar los precursores del peptidoglicano a través de la membrana plasmática.,2. Impedir que a los antibióticos betalactámicos degraden la pared bacteriana en microorganismos resistentes.,3. Sintetizar el ácido N-acetilmurámico.,4. Catalizar la formación de enlaces en el tetrapéptido del glicano durante la síntesis del peptidoglicano.,1,2018
190. ¿Cuál es el medio de cultivo recomendado para la realización de un antibiograma?:,1. TSA (agar de soja tríptico).,2. Kirby-Bauer.,3. Mueller-Hinton.,4. BHI (agar cerebro corazón).,3,2018
191. El complejo calcio-ácido dipicolínico:,1. Sirve para el almacenamiento de carbono en la célula en forma de inclusión.,"2. Es característico de la endospora bacteriana, favoreciendo la deshidratación.",3. Es uno de los componentes fundamentales de la pared de mixobacterias.,4. Es fundamental para la formación de prostecas.,2,2018
"192. El lípido A, endotoxina responsable de algunos de los síntomas gastrointestinales provocados por microorganismos patógenos, es típico de:",1. Bacterias gram positivas.,2. Bacterias gram negativas.,3. Arqueas.,4. Micoplasmas.,2,2018
193. Es un betalactámico:,1. Amoxicilina.,2. Cloranfenicol.,3. Actinomicina.,4. Trimetoprim.,1,2018
194. Puede formar esporas:,1. Pseudomonas aeruginosa.,2. Staphylococcus aureus.,3. Bacillus anthracis.,4. Legionella pneumophila.,3,2018
195. Suele causar patologías cutáneas:,1. Neisseria meningitidis.,2. Salmonella entérica.,3. Streptococcus pyogenes.,4. Bifidobacterium bifidum.,3,2018
196. Puede causar meningitis en niños:,1. Neisseria gonorrhoeae.,2. Haemophilus influenzae.,3. Helicobacter pylori.,4. Candida albicans.,2,2018
197. ¿Qué enfermedad NO produce un patógeno fúngico?:,1. Criptococosis.,2. Blastomicosis.,3. Candidiasis.,4. Tripanosomiasis.,4,2018
198. Una micorriza es:,1. Una simbiosis entre un hongo y la raíz de una planta.,2. Un hongo patogénico en humanos que afecta principalmente a las raíces de las uñas.,3. Una levadura usada en la elaboración de ciertos panes.,4. Un grupo de hongos responsables de la degradación de la madera.,1,2018
199. ¿A qué órgano afecta la aspergilosis?:,1. Pulmón.,2. Hígado.,3. Riñón.,4. Piel.,1,2018
200. Puede causar patología grave en pacientes inmunodeprimidos:,1. Saccharomyces cerevisiae.,2. Rhizopus nigricans.,3. Asthrospira platensis.,4. Aspergillus fumigatus.,4,2018
201. Se suele encontrar en la pared celular de los hongos:,1. Peptidoglucano.,2. Quitina.,3. Almidón.,4. Cutina.,2,2018
202. Virus que se replica en el citoplasma celular:,1. Viruela.,2. Gripe.,3. Herpes simple de tipo 1.,4. Adenovirus.,1,2018
203. Virus que produce fiebres hemorrágicas:,1. Hanta.,2. VIH.,3. Sarampión.,4. Ébola.,0,2018
204. Virus que produce(n) ictericia al infectar humanos:,1. El de las paperas.,2. Los rotavirus.,3. El de la hepatitis A.,4. Los coronavirus.,3,2018
205. Virus que expresa una retrotranscriptasa para replicarse:,1. El de la hepatitis B.,2. El de la viruela.,3. El del dengue.,4. El herpes simple de tipo 1.,1,2018
206. Los determinantes antigénicos que establecen la nomenclatura de los virus de la gripe de tipo A pertenecen a:,1. La proteína de fusión F.,2. Las proteínas hemaglutinina y neuraminidasa.,3. La proteína G.,4. La nucleoproteína NP y la proteína de matriz M1,2,2018
207. La vacuna triple vírica del calendario vacunal infantil español protege frente a:,"1. Rotavirus, adenovirus y coronavirus.","2. Virus de las paperas, la rubeola y el sarampión.","3. Virus de la hepatitis A, la hepatitis B y el sarampión.","4. Virus de la gripe, respiratorio sincitial y adenovirus.",2,2018
208. ¿Cuál de los siguientes compuestos NO pertenece a la familia de los eicosanoides?:,1. Esteroides.,2. Tromboxanos.,3. Prostaglandinas.,4. Leucotrienos.,1,2018
209. Virus que tiene(n) cápsida y membrana a la vez:,1. Herpesvirus humano de tipo 1.,2. El de parainfluenza.,3. El de la gripe.,4. Los picornavirus.,0,2018
210. Molécula central de la clasificación de Baltimore en la que convergen los distintos tipo de virus:,1. ADN de doble cadena.,2. ADN de cadena simple.,3. ARN de doble cadena.,4. ARN mensajero.,4,2018
211. No están presentes en ningún virus:,1. ARN polimerasas.,2. Ribosomas.,3. ADN polimerasas.,4. Proteasas.,0,2018
212. Virus que nunca requiere(n) de ningún elemento de la maquinaria nuclear para replicarse:,1. El de la gripe de tipo B.,2. El de Epstein-Barr.,3. El bacteriófago T4.,4. Los picornavirus.,3,2018
213. ¿Qué virus de los siguientes se sospecha primero en caso de gastroenteritis?:,1. El parvovirus.,2. El de la hepatitis B.,3. El norovirus.,4. El de la varicela.,3,2018
214. ¿Cuál de los siguientes paramixovirus tiene como reservorio el murciélago y puede producir encefalitis?:,1. El del sarampión.,2. El de la rubeola.,3. El Nipah.,4. El respiratorio sincitial.,0,2018
215. Característica común a los poliomavirus:,1. Son de ARN.,2. Pueden producir tumores.,3. Causan encefalitis.,4. Pueden producir fiebres hemorrágicas.,2,2018
216. ¿Cuál de los siguientes virus codifica una poliproteína que requiere un procesamiento proteolítico para generar sus proteínas?:,1. El de la gripe.,2. El de la polio.,3. El respiratorio sincitial.,4. El de la rabia.,2,2018
217. Los picos de fiebre a intervalos sincronizados de la malaria son por:,1. Ruptura de los eritrocitos del hospedador y liberación de merozoitos.,2. Ruptura del esquizonte hepático y liberación de toxinas.,3. Liberación de la hemozoina.,4. Reactivación de los hipnozoitos.,1,2018
218. La triquinosis se produce por un:,1. Nematodo.,2. Cestodo.,3. Protozoo.,4. Trematodo.,1,2018
219. ¿Cómo se conoce también la tripanosomiasis americana?:,1. Enfermedad del sueño.,2. Paludismo.,3. Kala-azar.,4. Enfermedad de Chagas.,4,2018
220. ¿Qué enfermedad produce el Plasmodium vivax?:,1. Leishmaniosis.,2. Malaria.,3. Toxoplasmosis.,4. Tricomoniasis.,2,2018
221. En el ciclo asexual de Plasmodium falciparum ¿qué dos fases se pueden diferenciar?:,1. Hemática y hepática.,2. Hemática y renal.,3. Intestinal y cerebral.,4. Renal y cerebral.,1,2018
222. Para el análisis cualitativo de azúcares reductores de emplea la reacción de:,1. Fehling.,2. Edman.,3. Lowry.,4. Biuret.,1,2018
223. El filamento del flagelo procariota está formado por:,1. Axonema (9 pares de microtúbulos y un par central).,2. La unión de varias copias de pilina.,3. Subunidades de actina.,4. Muchas copias de flagelina.,4,2018
224. Está asociado a la aparición de linfomas:,1. Adenovirus.,2. Virus de la hepatitis C.,3. Papilomavirus 16.,4. Virus de Epstein-Barr.,4,2018
225. ¿Cuál de las siguientes enzimas de restricción producirá extremos cohesivos 3’ salientes (“/” indica el sitio de corte)?:,1. BspDI (AT/CGAT).,2. BamHI (G/GATCC).,3. EcoRV (GAT/ATC).,4. ApaI (GGGCC/C).,4,2018
226. Los caracoles son hospedadores de:,1. Echinococcus.,2. Anisakidae.,3. Taenia.,4. Schistosoma.,4,2018
227. ¿Cuál de las siguientes enfermedades NO tiene una herencia ligada al cromosoma X?:,1. Distrofia muscular de Duchenne.,2. Hemofilia.,3. Síndrome de Rett.,4. Síndrome de Marfan.,4,2018
228. Las gotas lipídicas:,1. Se forman a partir del complejo de Golgi.,2. Se liberan por exocitosis.,3. Son osmóticamente activas.,4. Están delimitadas por una monocapa de fosfolípidos y proteínas.,4,2018
229. En una arteriola sistémica hay vasoconstricción por:,1. Óxido nítrico.,2. Hipercapnia.,3. Angiotensina II.,4. Histamina.,3,2018
230. Los receptores de glicina:,1. Tienen 7 segmentos transmembrana.,2. Se expresan en neuronas de médula espinal.,3. Permean K+.,"4. Al potencial de membrana en reposo, están bloqueados por Mg2+.",2,2018
231. Las proteínas denominadas forminas generan:,1. Microtúbulos.,2. Filamentos de actina.,3. Filamentos de queratina.,4. Haces de fibronectina.,2,2018
232. La presión transpulmonar es cero en:,1. Inspiración en reposo.,2. Espiración en reposo.,3. Neumotórax.,4. Final de un ciclo respiratorio.,3,2018
233. Los potenciales de acción:,1. Pueden sumarse en el espacio y en el tiempo.,2. Se propagan con decremento.,3. Incrementan su amplitud con la intensidad del estímulo.,4. Están mediados por canales sensibles a voltaje.,4,2018
234. El término “adenómero” designa:,1. Agregado de células endocrinas.,2. Porción secretora de una glándula multicelular exocrina.,3. Conjunto de células epiteliales que rodean una cavidad cerrada.,4. La subdivisión más pequeña del parénquima de un órgano.,2,2018
"235. En el sistema nervioso central, la mielinización:",1. Es muy marcada en la sustancia gris.,2. Se efectúa por astrocitos.,3. Se efectúa por microglia.,4. De varios axones se puede efectuar por una misma célula.,4,2018
